[2025-06-25 20:15:38] ERROR | FTP connection failed: 530 Login incorrect.
[2025-06-25 20:45:54] ERROR | FTP connection failed: 530 Login incorrect.
[2025-06-25 20:47:41] ERROR | create_file failed: [Errno 13] Permission denied: 'C:\\Marseille'
[2025-06-25 20:48:33] DELETE | C:\Paris | OK
[2025-06-25 20:49:16] ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\ftp\\marseille'
[2025-06-25 20:49:37] CREATE_FOLDER | C:\FTP\f | OK
[2025-06-25 20:49:55] DELETE | C:\FTP\f | OK
[2025-06-25 21:03:36] CREATE_FOLDER | C:\FTP\Marseille | OK
[2025-06-25 21:03:51] ERROR | FTP connection failed: 530 Login or password incorrect!
[2025-06-25 21:11:42] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:25:10] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:31:52] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:32:56] DELETE | C:\FTP\Paris | OK
[2025-06-25 21:33:03] DELETE | C:\FTP\Marseille | OK
[2025-06-25 21:33:18] CREATE_FOLDER | C:\FTP\Paris | OK
[2025-06-25 21:33:20] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:33:53] CREATE_FILE | C:\FTP\Paris\Client1 | OK
[2025-06-25 21:34:18] ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Paris\\Client1\\audit1'
[2025-06-25 21:34:37] ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Paris\\Client1\\audit1'
[2025-06-25 21:34:47] CREATE_FILE | C:\FTP\Paris | ALREADY EXISTS
[2025-06-25 21:35:06] {
  "superadmin": {
    "password": "root",
    "role": "superadmin"
  },
  "admin1": {
    "password": "adminpass",
    "role": "admin",
    "region": "Paris"
  },
  "client1": {
    "password": "user123",
    "role": "user",
    "region": "Paris",
    "client": "Client1"
  }
}
FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:41:07] DELETE | C:\FTP\Paris\Client1 | OK
[2025-06-25 21:41:17] CREATE_FOLDER | C:\FTP\Paris\Client1 | OK
[2025-06-25 21:41:31] CREATE_FILE | C:\FTP\Paris\Client1\audit1 | OK
[2025-06-25 21:41:35] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:48:34] RENAME | C:\FTP\Paris\Client1\audit1 -> C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 21:48:42] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:48:42] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 21:51:27] CREATE_FOLDER | C:\FTP\Marseille | OK
[2025-06-25 21:51:32] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 21:51:32] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 22:32:45] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 22:32:45] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-25 22:33:00] DELETE | C:\FTP\Marseille | OK
[2025-06-25 22:33:04] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-25 22:33:04] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-26 09:52:19] CREATE_FOLDER | C:\FTP\Marseille | OK
[2025-06-26 09:53:05] CREATE_FOLDER | C:\FTP\Client2 | OK
[2025-06-26 09:53:25] DELETE | C:\FTP\Client2 | OK
[2025-06-26 09:53:45] CREATE_FOLDER | C:\FTP\Marseille\Client1 | OK
[2025-06-26 09:54:36] CREATE_FILE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-26 09:54:46] FTP_CONNECT | 127.0.0.1 | OK
[2025-06-26 09:54:46] FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-26 09:54:46] FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-26 20:32:38] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-26 20:32:38] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-26 20:34:14] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-26 20:34:14] SYSTEM | FTP_UPLOAD | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-26 20:34:14] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-26 20:34:14] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-26 20:36:15] admin1 (admin) | ERROR | Accès interdit hors de votre périmètre.
[2025-06-29 19:53:52] admin1 (admin) | CREATE_FOLDER | C:\FTP\Paris\Client2 | OK
[2025-06-29 19:54:27] admin1 (admin) | ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Paris\\Client\\audit.1'
[2025-06-29 19:54:41] admin1 (admin) | CREATE_FILE | C:\FTP\Paris\Client2\audit | OK
[2025-06-29 19:54:59] admin1 (admin) | ERROR | rename_path failed: [WinError 2] Le fichier spécifié est introuvable: 'C:\\FTP\\Paris\\aduit' -> 'C:\\FTP\\Paris\\audit.1'
[2025-06-29 19:55:39] admin1 (admin) | RENAME | C:\FTP\Paris\Client2\audit -> C:\FTP\Paris\Client2\audit.1 | OK
[2025-06-29 19:55:54] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 19:55:54] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 19:55:54] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client2\audit.1 | OK
[2025-06-29 20:01:39] admin1 (admin) | DELETE | C:\FTP\Paris\Client2\audit.1 | OK
[2025-06-29 20:01:46] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:01:46] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:01:58] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:01:58] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:26:14] superadmin (superadmin) | CREATE_FILE | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-29 20:26:22] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:26:22] SYSTEM | FTP_UPLOAD | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-29 20:26:22] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 20:26:22] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:26:51] superadmin (superadmin) | DELETE | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-29 20:26:58] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:26:58] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 20:26:58] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_CWD | /Grenoble/Client1 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_DELETE | Grenoble/Client1/audit.1 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_CWD | /Marseille/Client1 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_CWD | /Paris/Client1 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_DELETE | Paris/Client1/audit.2 | OK
[2025-06-29 20:35:09] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:35:42] superadmin (superadmin) | ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Grenoble\\Client2\\audit.2'
[2025-06-29 20:35:56] superadmin (superadmin) | CREATE_FILE | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-29 20:36:12] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:36:12] SYSTEM | FTP_CWD | /Grenoble/Client1 | OK
[2025-06-29 20:36:12] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-29 20:36:12] SYSTEM | FTP_CWD | /Marseille/Client1 | OK
[2025-06-29 20:36:12] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 20:36:12] SYSTEM | FTP_CWD | /Paris/Client1 | OK
[2025-06-29 20:36:12] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:37:14] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:37:14] SYSTEM | FTP_CWD | /Grenoble/Client1 | OK
[2025-06-29 20:37:14] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Grenoble\Client1\audit.1 | OK
[2025-06-29 20:37:14] SYSTEM | FTP_CWD | /Marseille/Client1 | OK
[2025-06-29 20:37:14] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 20:37:14] SYSTEM | FTP_CWD | /Paris/Client1 | OK
[2025-06-29 20:37:14] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:38:31] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:38:31] SYSTEM | FTP_CWD | /Paris/Client1 | OK
[2025-06-29 20:38:31] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:43:53] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:43:53] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:46:49] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:46:49] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:51:37] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:51:56] superadmin (superadmin) | ERROR | rename_path failed: Invalid name ''
[2025-06-29 20:52:03] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:52:11] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:52:30] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:52:30] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 20:59:19] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 20:59:19] SYSTEM | FTP_SYNC_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:02:47] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:02:47] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:03:36] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:03:36] SYSTEM | ARCHIVE_FILE | C:\FTP\Paris\Client1\audit.1 -> C:\FTP\Paris\Client1\archives\2025-06-29 | OK
[2025-06-29 21:03:36] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\archives\2025-06-29\audit.1 | OK
[2025-06-29 21:03:36] SYSTEM | DAILY_ARCHIVE_PUSH | Archivage + FTP 2025-06-29 terminé | OK
[2025-06-29 21:07:23] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:07:23] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:07:57] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:07:57] SYSTEM | ARCHIVE_FILE | C:\FTP\Paris\Client1\audit.1 -> C:\FTP\Paris\Client1\archives\2025-06-29 | OK
[2025-06-29 21:07:57] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\archives\2025-06-29\audit.1 | OK
[2025-06-29 21:07:57] SYSTEM | DAILY_ARCHIVE_PUSH | Archivage + FTP 2025-06-29 terminé | OK
[2025-06-29 21:13:50] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:13:50] SYSTEM | ARCHIVE_FILE | C:\FTP\Paris\Client1\audit.1 -> C:\FTP\Paris\Client1\archives\2025-06-29 | OK
[2025-06-29 21:13:50] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\archives\2025-06-29\audit.1 | OK
[2025-06-29 21:13:50] SYSTEM | DAILY_ARCHIVE_PUSH | Archivage + FTP 2025-06-29 terminé | OK
[2025-06-29 21:25:43] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:25:49] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:25:49] SYSTEM | FTP_DELETE | Paris/Client1/audit.1 | OK
[2025-06-29 21:26:09] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:26:33] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:26:33] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:27:08] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Grenoble\Client1 | OK
[2025-06-29 21:27:29] superadmin (superadmin) | CREATE_FILE | C:\FTP\Grenoble\Client1\audit.2 | OK
[2025-06-29 21:27:40] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:27:40] SYSTEM | FTP_UPLOAD | C:\FTP\Grenoble\Client1\audit.2 | OK
[2025-06-29 21:27:40] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:28:21] superadmin (superadmin) | DELETE | C:\FTP\Grenoble\Client1\audit.2 | OK
[2025-06-29 21:28:22] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:28:22] SYSTEM | FTP_DELETE | Grenoble/Client1/audit.2 | OK
[2025-06-29 21:28:22] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:28:50] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:28:50] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:29:50] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:29:50] SYSTEM | ARCHIVE_FILE | C:\FTP\Paris\Client1\audit.1 -> C:\FTP\Paris\Client1\archives\2025-06-29 | OK
[2025-06-29 21:29:50] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\archives\2025-06-29\audit.1 | OK
[2025-06-29 21:29:50] SYSTEM | DAILY_ARCHIVE_PUSH | Archivage + FTP 2025-06-29 terminé | OK
[2025-06-29 21:32:06] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Paris\Client1 | OK
[2025-06-29 21:33:06] superadmin (superadmin) | ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Paris\\Client\\audit.1'
[2025-06-29 21:33:28] superadmin (superadmin) | ERROR | create_file failed: [Errno 2] No such file or directory: 'C:\\FTP\\Paris\\Client\\audit.1'
[2025-06-29 21:33:51] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:33:55] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:33:55] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:33] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:33] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:36] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:36] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:37] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:37] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:34:38] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:35:11] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.5 | OK
[2025-06-29 21:35:13] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:35:13] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:35:13] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.5 | OK
[2025-06-29 21:36:04] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:36:04] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:36:04] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.5 | OK
[2025-06-29 21:37:11] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client | OK
[2025-06-29 21:37:25] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client1 | OK
[2025-06-29 21:38:11] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:38:22] superadmin (superadmin) | DELETE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:38:49] superadmin (superadmin) | CREATE_FOLDER | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:39:01] superadmin (superadmin) | DELETE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:39:09] superadmin (superadmin) | CREATE_FILE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:39:21] superadmin (superadmin) | CREATE_FILE | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:39:30] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:39:30] SYSTEM | FTP_UPLOAD | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:39:30] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
[2025-06-29 21:40:06] superadmin (superadmin) | DELETE | C:\FTP\Marseille\Client1\audit.1 | OK
[2025-06-29 21:40:10] SYSTEM | FTP_CONNECT | 127.0.0.1 | OK
[2025-06-29 21:40:10] SYSTEM | FTP_UPLOAD | C:\FTP\Paris\Client1\audit.1 | OK
